2024-04-19 02:24:22 | ERROR | stderr | Traceback (most recent call last):
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/model_executor/models/llama.py", line 187, in __init__
2024-04-19 02:24:22 | ERROR | stderr |     self.mlp = LlamaMLP(
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/model_executor/models/llama.py", line 61, in __init__
2024-04-19 02:24:22 | ERROR | stderr |     self.gate_up_proj = MergedColumnParallelLinear(
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/model_executor/layers/linear.py", line 260, in __init__
2024-04-19 02:24:22 | ERROR | stderr |     super().__init__(input_size, sum(output_sizes), bias, gather_output,
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/model_executor/layers/linear.py", line 181, in __init__
2024-04-19 02:24:22 | ERROR | stderr |     self.linear_weights = self.linear_method.create_weights(
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/vllm/model_executor/layers/linear.py", line 63, in create_weights
2024-04-19 02:24:22 | ERROR | stderr |     weight = Parameter(torch.empty(output_size_per_partition,
2024-04-19 02:24:22 | ERROR | stderr |   File "/home/russ/.conda/envs/LLM-CTF/lib/python3.9/site-packages/torch/utils/_device.py", line 77, in __torch_function__
2024-04-19 02:24:22 | ERROR | stderr |     return func(*args, **kwargs)
2024-04-19 02:24:22 | ERROR | stderr | torch.cuda.OutOfMemoryError: CUDA out of memory. Tried to allocate 224.00 MiB. GPU 0 has a total capacty of 5.78 GiB of which 192.94 MiB is free. Including non-PyTorch memory, this process has 4.68 GiB memory in use. Of the allocated memory 4.39 GiB is allocated by PyTorch, and 13.84 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting max_split_size_mb to avoid fragmentation.  See documentation for Memory Management and PYTORCH_CUDA_ALLOC_CONF
